month,agent,total.mobile-app,total.desktop,total.mobile-web
2016-01,user,1759856,196816749,98168378
2016-01,spider,,58310694,12577958
2016-02,user,1543396,174730678,86960583
2016-02,spider,,74695761,10822870
2016-03,user,1791957,172638154,94800033
2016-03,spider,,61811847,10130841
2016-04,user,1312990,165756201,88299617
2016-04,spider,,51010667,7182050
2016-05,user,1627109,164796775,89380771
2016-05,spider,,54792139,6318097
2016-06,user,1500321,157974427,83655760
2016-06,spider,,53531027,6312815
2016-07,user,1493517,124565150,79725989
2016-07,spider,,54299547,8537641
2016-08,user,1443652,128862113,81532692
2016-08,spider,,52703228,8982270
2016-09,user,1312966,141919497,85541203
2016-09,spider,,51467105,10646333
2016-10,user,1316780,192300483,99737079
2016-10,spider,,51486269,8213342
2016-11,user,1429112,169772584,106587478
2016-11,spider,,57152922,8400000
2016-12,user,1604105,157335505,102119201
2016-12,spider,,50485881,8133270
2017-01,user,2127587,181108958,117961494
2017-01,spider,,42957126,6918971
2017-02,user,2439855,155462821,106335204
2017-02,spider,,39743685,6779053
2017-03,user,2072316,161447057,111912777
2017-03,spider,,63490858,11015301
2017-04,user,1771197,143097152,106765312
2017-04,spider,,50108910,8760822
2017-05,user,1773347,156238085,107559468
2017-05,spider,,50869934,8616688
2017-06,user,1586418,133774355,92772206
2017-06,spider,,39633897,5501900
2017-07,user,1631587,113148495,91315344
2017-07,spider,,34417497,3488576
2017-08,user,1720335,112889854,95340962
2017-08,spider,,35329793,3876454
2017-09,user,1706326,118663061,103683051
2017-09,spider,,36060201,3056471
2017-10,user,1821958,133576470,111723321
2017-10,spider,,36676609,3146144
2017-11,user,1882195,140294488,116665281
2017-11,spider,,38767154,3791306
2017-12,user,1854788,125339282,112314801
2017-12,spider,,38061490,4649425
2018-01,user,2053685,154295776,137416916
2018-01,spider,,43102042,4158411
2018-02,user,1826317,127831742,119816913
2018-02,spider,,33142053,5361626
2018-03,user,1892712,132219986,125477591
2018-03,spider,,40626673,7576284
2018-04,user,1764234,148741867,115601117
2018-04,spider,,35457081,7909607
2018-05,user,1858167,128718846,126064108
2018-05,spider,,41598540,9111545
2018-06,user,1782907,118291208,119849341
2018-06,spider,,35761254,8869567
2018-07,user,1937752,106096498,123473613
2018-07,spider,,34393745,7785797
2018-08,user,1938094,98279142,116821677
2018-08,spider,,37371549,10301872
2018-09,user,1843798,106280603,119589658
2018-09,spider,,37495881,10655250
2018-10,user,1890364,121841196,125239889
2018-10,spider,,44957691,10421903
2018-11,user,1989158,134207081,136479520
2018-11,spider,,47180344,9552187
2018-12,user,2113760,115153022,137781555
2018-12,spider,,45678603,12390161
2019-01,user,2240160,138249527,151523893
2019-01,spider,,46447687,10893201
2019-02,user,1914607,112882588,130282645
2019-02,spider,,51294297,11365628
2019-03,user,2088071,129477238,146661020
2019-03,spider,,50775272,11133153
2019-04,user,2039040,102480170,127636041
2019-04,spider,,39191932,10492526
2019-05,user,2198532,118139802,145259326
2019-05,spider,,32612275,10414650
2019-06,user,1962638,103224124,124599807
2019-06,spider,,35509526,7568076
2019-07,user,2034299,98076170,126758811
2019-07,spider,,55813135,10876976
2019-08,user,2225342,96162030,135725875
2019-08,spider,,35815053,10837818
2019-09,user,2062010,95277365,135139772
2019-09,spider,,32631353,7683096
2019-10,user,2185718,109748906,145900355
2019-10,spider,,37883647,8805037
2019-11,user,2218851,107374787,149026857
2019-11,spider,17,42135740,8312845
2019-12,user,2233860,101649050,142582034
2019-12,spider,728,63135297,10127284
2020-01,user,2448662,117914004,161040767
2020-01,spider,1179,66749175,9568324
2020-02,user,2187788,101591224,141416712
2020-02,spider,1044,51336110,7467386
2020-03,user,2262676,132114235,157247140
2020-03,spider,923,62712122,7901608
2020-04,user,2331579,152138288,168483953
2020-04,spider,1438,69414253,9804250
2020-04,automated,21,179960,6039
2020-05,user,1759487,154834044,168234716
2020-05,spider,902,68220616,11095188
2020-05,automated,1884,3078012,298929
2020-06,user,322885,114756343,136437358
2020-06,spider,158,47955328,7370385
2020-06,automated,16,3829991,665005
2020-07,user,1879877,83777155,130356455
2020-07,spider,655,51255878,7978652
2020-07,automated,33980,4823533,404287
2020-08,user,2046919,78668437,134459137
2020-08,spider,576,50458809,6864527
2020-08,automated,796,2997613,306064
2020-09,user,1952015,87015900,131949579
2020-09,spider,450,46559298,6904681
2020-09,automated,1146,3958486,264182
2020-10,user,2124513,113829835,145058212
2020-10,spider,938,44251114,8334694
2020-10,automated,2709,4061070,219860
2020-11,user,2245411,142885676,166938543
2020-11,spider,659,50435265,8311098
2020-11,automated,2217,2890053,290666
2020-12,user,2176666,122364120,154063202
2020-12,spider,541,51988523,12551865
2020-12,automated,755,3223732,387066
2021-01,user,2379162,132562608,170019077
2021-01,spider,463,50187335,12160731
2021-01,automated,7095,2713738,615677
2021-02,user,2003688,132111598,147526458
2021-02,spider,451,45542385,10678127
2021-02,automated,786,5393662,370932
