month,total.content
2001-09,1
2001-10,71
2001-11,233
2001-12,87
2002-01,252
2002-02,261
2002-03,378
2002-04,370
2002-05,792
2002-06,381
2002-07,656
2002-08,546
2002-09,1124
2002-10,627
2002-11,285
2002-12,497
2003-01,677
2003-02,1127
2003-03,1485
2003-04,941
2003-05,749
2003-06,670
2003-07,590
2003-08,491
2003-09,629
2003-10,657
2003-11,1130
2003-12,1275
2004-01,3259
2004-02,1986
2004-03,2407
2004-04,1914
2004-05,2042
2004-06,1825
2004-07,1881
2004-08,2017
2004-09,2729
2004-10,3043
2004-11,3492
2004-12,3318
2005-01,4121
2005-02,3115
2005-03,3677
2005-04,4130
2005-05,4128
2005-06,4735
2005-07,3975
2005-08,5825
2005-09,38436
2005-10,17887
2005-11,4204
2005-12,10496
2006-01,53798
2006-02,6043
2006-03,6801
2006-04,7007
2006-05,6872
2006-06,7748
2006-07,12149
2006-08,26842
2006-09,12701
2006-10,8554
2006-11,9031
2006-12,10022
2007-01,11397
2007-02,10599
2007-03,9077
2007-04,9119
2007-05,10754
2007-06,11612
2007-07,11681
2007-08,10612
2007-09,8484
2007-10,7755
2007-11,8284
2007-12,8831
2008-01,9301
2008-02,9481
2008-03,9542
2008-04,9414
2008-05,10182
2008-06,9482
2008-07,8346
2008-08,8400
2008-09,8149
2008-10,8116
2008-11,9022
2008-12,7768
2009-01,9609
2009-02,8953
2009-03,8387
2009-04,7974
2009-05,8152
2009-06,7910
2009-07,7725
2009-08,7442
2009-09,7847
2009-10,7911
2009-11,8330
2009-12,9121
2010-01,8237
2010-02,7836
2010-03,7758
2010-04,7533
2010-05,7556
2010-06,7184
2010-07,7243
2010-08,6969
2010-09,6410
2010-10,11455
2010-11,10427
2010-12,9732
2011-01,8662
2011-02,8202
2011-03,11907
2011-04,7055
2011-05,8291
2011-06,6644
2011-07,7309
2011-08,6991
2011-09,7348
2011-10,6832
2011-11,6981
2011-12,14194
2012-01,12756
2012-02,6053
2012-03,5521
2012-04,5466
2012-05,5522
2012-06,6597
2012-07,7043
2012-08,6746
2012-09,5267
2012-10,5209
2012-11,4722
2012-12,6153
2013-01,6261
2013-02,6338
2013-03,6085
2013-04,4847
2013-05,5505
2013-06,6239
2013-07,8699
2013-08,9480
2013-09,6932
2013-10,5418
2013-11,5854
2013-12,6425
2014-01,7583
2014-02,6920
2014-03,5915
2014-04,5445
2014-05,4716
2014-06,4116
2014-07,4905
2014-08,4933
2014-09,5357
2014-10,6166
2014-11,5414
2014-12,5448
2015-01,7026
2015-02,6155
2015-03,6901
2015-04,6161
2015-05,5461
2015-06,5415
2015-07,6284
2015-08,5321
2015-09,4733
2015-10,5489
2015-11,4886
2015-12,4801
2016-01,5115
2016-02,4709
2016-03,4242
2016-04,4188
2016-05,5589
2016-06,4091
2016-07,3959
2016-08,3964
2016-09,3932
2016-10,4106
2016-11,4160
2016-12,4225
2017-01,4754
2017-02,4995
2017-03,5695
2017-04,4358
2017-05,5553
2017-06,4140
2017-07,4538
2017-08,4443
2017-09,4323
2017-10,5150
2017-11,4525
2017-12,5934
2018-01,5262
2018-02,4587
2018-03,4751
2018-04,5042
2018-05,5335
2018-06,4904
2018-07,4520
2018-08,4799
2018-09,4628
2018-10,3966
2018-11,3947
2018-12,5080
2019-01,5657
2019-02,4441
2019-03,8092
2019-04,6484
2019-05,4579
2019-06,4044
2019-07,4487
2019-08,7267
2019-09,7905
2019-10,3268
2019-11,3978
2019-12,5785
2020-01,5437
2020-02,4642
2020-03,11872
2020-04,9187
2020-05,4969
2020-06,5733
2020-07,3839
2020-08,3808
2020-09,3809
2020-10,5736
2020-11,6184
2020-12,6893
2021-01,6523
2021-02,6889
2021-03,5203
2021-04,5432
2021-05,6333
2021-06,3376
2021-07,3190
2021-08,4483
2021-09,3337
2021-10,3801
2021-11,3409
2021-12,4377
2022-01,5272
2022-02,5210
2022-03,4130
2022-04,3840
2022-05,3769
2022-06,3299
2022-07,3616
2022-08,3657
2022-09,3146
2022-10,3706
2022-11,4216
2022-12,4781
2023-01,3861
2023-02,4786
2023-03,4545
2023-04,3761
2023-05,3523
2023-06,2901
2023-07,3245
2023-08,4090
2023-09,4457
2023-10,4257
2023-11,3887
2023-12,4451
2024-01,5150
2024-02,4797
2024-03,3865
2024-04,3786
2024-05,4565
2024-06,3309
2024-07,3439
2024-08,3624
2024-09,2925
2024-10,2836
2024-11,4742
2024-12,4506
2025-01,5043
2025-02,2996
2025-03,3469
2025-04,3468
2025-05,3399
2025-06,2909
2025-07,2664
2025-08,2923
2025-09,3108
2025-10,3151
2025-11,3159
2025-12,3617
2026-01,3608
2026-02,3609
2026-03,3545
2026-04,3096
2026-05,3903
2026-06,3099
