month,total.total
2001-09,1
2001-10,3
2001-11,7
2001-12,9
2002-01,11
2002-02,11
2002-03,12
2002-04,14
2002-05,9
2002-06,12
2002-07,15
2002-08,18
2002-09,22
2002-10,25
2002-11,32
2002-12,33
2003-01,33
2003-02,32
2003-03,44
2003-04,45
2003-05,55
2003-06,49
2003-07,52
2003-08,50
2003-09,53
2003-10,50
2003-11,64
2003-12,79
2004-01,91
2004-02,117
2004-03,133
2004-04,131
2004-05,153
2004-06,187
2004-07,175
2004-08,188
2004-09,265
2004-10,288
2004-11,312
2004-12,311
2005-01,428
2005-02,411
2005-03,403
2005-04,525
2005-05,559
2005-06,698
2005-07,635
2005-08,714
2005-09,697
2005-10,705
2005-11,685
2005-12,892
2006-01,1161
2006-02,1208
2006-03,1363
2006-04,1286
2006-05,1493
2006-06,1490
2006-07,1522
2006-08,1603
2006-09,1635
2006-10,1612
2006-11,1763
2006-12,1956
2007-01,2251
2007-02,2154
2007-03,2046
2007-04,2120
2007-05,2416
2007-06,2304
2007-07,2220
2007-08,2246
2007-09,2177
2007-10,2068
2007-11,2111
2007-12,2113
2008-01,2264
2008-02,2285
2008-03,2305
2008-04,2215
2008-05,2373
2008-06,2390
2008-07,2275
2008-08,2296
2008-09,2133
2008-10,2075
2008-11,2209
2008-12,2180
2009-01,2566
2009-02,2289
2009-03,2272
2009-04,2123
2009-05,2194
2009-06,2209
2009-07,2208
2009-08,2221
2009-09,2123
2009-10,2062
2009-11,2118
2009-12,2058
2010-01,2243
2010-02,2072
2010-03,2108
2010-04,2135
2010-05,2042
2010-06,1960
2010-07,1875
2010-08,1926
2010-09,1792
2010-10,1792
2010-11,1792
2010-12,1841
2011-01,2061
2011-02,1987
2011-03,1871
2011-04,1803
2011-05,1806
2011-06,1817
2011-07,1865
2011-08,1805
2011-09,1661
2011-10,1773
2011-11,1702
2011-12,1803
2012-01,1979
2012-02,1806
2012-03,1771
2012-04,1723
2012-05,1872
2012-06,1813
2012-07,1849
2012-08,1819
2012-09,1703
2012-10,1672
2012-11,1717
2012-12,1689
2013-01,1869
2013-02,1763
2013-03,1819
2013-04,1676
2013-05,1709
2013-06,1646
2013-07,1539
2013-08,1569
2013-09,1566
2013-10,1477
2013-11,1522
2013-12,1556
2014-01,1670
2014-02,1557
2014-03,1506
2014-04,1432
2014-05,1493
2014-06,1405
2014-07,1411
2014-08,1431
2014-09,1380
2014-10,1353
2014-11,1389
2014-12,1427
2015-01,1590
2015-02,1473
2015-03,1444
2015-04,1455
2015-05,1381
2015-06,1397
2015-07,1438
2015-08,1437
2015-09,1294
2015-10,1375
2015-11,1448
2015-12,1434
2016-01,1621
2016-02,1465
2016-03,1432
2016-04,1330
2016-05,1444
2016-06,1372
2016-07,1406
2016-08,1407
2016-09,1349
2016-10,1332
2016-11,1356
2016-12,1383
2017-01,1567
2017-02,1496
2017-03,1538
2017-04,1465
2017-05,1471
2017-06,1416
2017-07,1396
2017-08,1405
2017-09,1328
2017-10,1397
2017-11,1420
2017-12,1461
2018-01,1643
2018-02,1469
2018-03,1499
2018-04,1418
2018-05,1473
2018-06,1382
2018-07,1400
2018-08,1422
2018-09,1346
2018-10,1407
2018-11,1514
2018-12,1499
2019-01,1715
2019-02,1517
2019-03,1567
2019-04,1425
2019-05,1456
2019-06,1378
2019-07,1390
2019-08,1354
2019-09,1350
2019-10,1433
2019-11,1493
2019-12,1416
2020-01,1653
2020-02,1535
2020-03,1663
2020-04,1611
2020-05,1715
2020-06,1521
2020-07,1417
2020-08,1430
2020-09,1384
2020-10,1446
2020-11,1600
2020-12,1615
2021-01,1867
2021-02,1698
2021-03,1619
2021-04,1538
2021-05,1618
2021-06,1432
2021-07,1427
2021-08,1435
2021-09,1365
2021-10,1526
2021-11,1461
2021-12,1425
2022-01,1660
2022-02,1545
2022-03,1412
2022-04,1443
2022-05,1494
2022-06,1465
2022-07,1416
2022-08,1474
2022-09,1386
2022-10,1452
2022-11,1402
2022-12,1456
2023-01,1667
2023-02,1515
2023-03,1501
2023-04,1429
2023-05,1457
2023-06,1463
2023-07,1444
2023-08,1526
2023-09,1456
2023-10,1439
2023-11,1490
2023-12,1492
2024-01,1742
2024-02,1567
2024-03,1535
2024-04,1437
2024-05,1503
2024-06,1471
2024-07,1475
2024-08,1434
2024-09,1402
2024-10,1395
2024-11,1452
2024-12,1508
2025-01,1704
2025-02,1424
2025-03,1481
2025-04,1364
2025-05,1456
2025-06,1494
2025-07,1458
2025-08,1383
2025-09,1366
2025-10,1465
2025-11,1391
2025-12,1398
2026-01,1582
2026-02,1404
2026-03,1440
2026-04,1323
2026-05,1431
2026-06,1363
