year,month,rank,title,views
2015,7,45,Joanna Przetakiewicz,42718
2015,7,48,Robert M,41556
2015,7,198,Lista odcinków serialu Świat według Kiepskich,23964
2015,7,238,Tadeusz Szymków,22546
2015,7,243,Reprezentacja Polski w piłce nożnej,22346
2015,7,273,Ciasteczko,21328
2015,7,309,Bracia Figo Fagot,19555
2015,7,321,Krzysztof Kruszewski,19141
2015,7,366,Sebastian Riedel,18104
2015,7,522,Kali (raper),15191
2015,7,547,Kabaret Limo,14888
2015,7,597,Kabaret Ani Mru-Mru,14288
2015,7,624,Wykaz ras psów agresywnych,14080
2015,7,626,Firma (zespół muzyczny),14065
2015,7,661,Ewa Błachnio,13650
2015,7,750,Lista odcinków serialu Miodowe lata,12813
2015,7,763,Wykaz środków odurzających i substancji psychotropowych,12736
2015,7,813,Polska Klasyfikacja Działalności,12329
2015,7,936,Stefan Pawłowski,11548
2015,8,28,Tadeusz Szymków,59378
2015,8,62,Andrzej Radomski,40315
2015,8,83,Barbara Szcześniak,35975
2015,8,87,Joanna Przetakiewicz,35478
2015,8,198,Lista odcinków serialu Świat według Kiepskich,25474
2015,8,235,Jacek Zieliński (muzyk),23434
2015,8,288,Reprezentacja Polski w piłce nożnej,20984
2015,8,299,Robert M,20736
2015,8,319,Ciasteczko,20158
2015,8,448,Oddział Zamknięty,17063
2015,8,491,Piotr Kuryło,16377
2015,8,557,Polska Klasyfikacja Działalności,15524
2015,8,572,Wykaz ras psów agresywnych,15401
2015,8,600,Linia kolejowa nr 250,15099
2015,8,603,Kabaret Limo,15069
2015,8,607,Anna Wesołowska,15032
2015,8,691,Bracia Figo Fagot,14172
2015,8,752,Kali (raper),13510
2015,8,780,Robert Kantereit,13225
2015,8,849,Referendum ogólnokrajowe,12765
2015,8,860,Marek Przybylik,12668
2015,8,864,Lista odcinków serialu Miodowe lata,12633
2015,8,899,Anna Kalczyńska,12367
2015,8,914,Poparzeni Kawą Trzy,12297
2015,8,923,Przełomowe bitwy w historii świata,12259
2015,8,940,Pierwsza miłość,12167
2015,9,40,Reprezentacja Polski w piłce nożnej,60095
2015,9,124,Maria Sadowska,37680
2015,9,231,Tadeusz Szymków,28356
2015,9,288,Lista odcinków serialu Świat według Kiepskich,26058
2015,9,318,Dzień Edukacji Narodowej,24521
2015,9,325,Rinke Rooyens,24206
2015,9,364,Pierwsza miłość,23033
2015,9,423,Aleksander Milwiw-Baron,21528
2015,9,436,Linia kolejowa nr 250,21153
2015,9,456,Referendum ogólnokrajowe,20676
2015,9,673,Iloczyn,16922
2015,9,780,Poparzeni Kawą Trzy,15682
2015,10,20,Reprezentacja Polski w piłce nożnej,105457
2015,10,25,Dzień Edukacji Narodowej,100114
2015,10,92,Okręgi wyborcze do Sejmu Rzeczypospolitej Polskiej,46411
2015,10,138,KORWiN,37917
2015,10,157,Maria Sadowska,35926
2015,10,162,Aleksander Milwiw-Baron,35689
2015,10,233,Diana Rudnik,30800
2015,10,293,Lista odcinków serialu Świat według Kiepskich,28157
2015,10,496,Pierwsza miłość,20929
2015,10,595,Ciasteczko,19304
2015,10,813,Poparzeni Kawą Trzy,16625
2015,10,830,Linia kolejowa nr 250,16440
2015,10,848,Rinke Rooyens,16274
2015,10,892,Iloczyn,15822
2015,10,938,Finansowanie partii politycznych w Polsce,15464
2015,10,949,Kamienie na szaniec,15402
2015,11,61,Reprezentacja Polski w piłce nożnej,69692
2015,11,64,Trybunał Konstytucyjny,68683
2015,11,205,Maria Sadowska,35830
2015,11,222,Linia kolejowa nr 250,34586
2015,11,278,Aleksander Milwiw-Baron,31479
2015,11,320,Afera gruntowa,29462
2015,11,331,Lista odcinków serialu Świat według Kiepskich,29056
2015,11,346,Tomasz Barański,28565
2015,11,596,Maria Teresa Kiszczak,21295
2015,11,686,Grzyby chronione w Polsce,19771
2015,11,726,Choroby genetyczne,19321
2015,11,749,Pierwsza miłość,18983
2015,11,901,Poparzeni Kawą Trzy,16937
2015,11,983,Dni wolne od pracy w Polsce,16236
2015,11,985,Lista Macierewicza,16231
2016,1,108,Trybunał Konstytucyjny,49896
2016,1,162,Danuta Holecka,41348
2016,1,242,Lista odcinków serialu Świat według Kiepskich,35344
2016,1,287,Reprezentacja Polski w piłce nożnej,32736
2016,1,403,Kamil Dąbrowa,27547
2016,1,424,Diana Rudnik,26894
2016,1,489,Anna Kalczyńska,25329
2016,1,491,Andrzej Banasiak,25301
2016,1,526,Pierwsza miłość,24381
2016,1,623,Poparzeni Kawą Trzy,22553
2016,1,627,Kali (raper),22514
2016,1,637,Piłka ręczna na Letnich Igrzyskach Olimpijskich 2016 – światowe turnieje kwalifikacyjne,22274
2016,1,768,Kontynentalne kwalifikacje w piłce siatkowej mężczyzn do Letnich Igrzysk Olimpijskich 2016,20459
2016,1,783,Linia kolejowa nr 250,20292
2016,1,856,Wykaz ras psów agresywnych,19349
2016,2,26,Maria Teresa Kiszczak,87967
